# Panel a of Fig. 3:
# This file contains the prompt energy spectrum data shown in panel a of the fig. 3
#
# Columns:
# Ec - Energy bin center (MeV)
# Ewid - Energy bin width (MeV)
# Nobs - Number of observed events
# Nobs_err - Statistical error of observed events
# Npred_best_fit - Number of predicted events from best fit
# Npred_signal - Number of predicted events from best fit, backgrounds subtracted
# Npred_9Li8He - Number of predicted events from 9Li/8He background
# Npred_Geonu - Number of predicted events from geoneutrinos
# Npred_WorldRea - Number of predicted events from world reactors
# Npred_Bipo - Number of predicted events from 214Bi-214Po background
# Npred_OtherBkg - Number of predicted events from other backgrounds
#
# All values are scaled to events/0.1 MeV; scale to the corresponding bin width to obtain the histogram for fitting.
#
Ec,Ewid,Nobs,Nobs_err,Npred_best_fit,Npred_signal,Npred_9Li8He,Npred_Geonu,Npred_WorldRea,Npred_Bipo,Npred_OtherBkg
5.75,0.10,33.00,5.74,30.59,26.68,3.49,0.00,0.37,0.00,0.06
5.85,0.10,37.00,6.08,29.82,25.98,3.47,0.00,0.32,0.00,0.05
5.95,0.10,33.00,5.74,28.94,25.17,3.43,0.00,0.28,0.00,0.05
6.05,0.10,26.00,5.10,27.22,23.52,3.39,0.00,0.25,0.00,0.06
6.15,0.10,23.00,4.80,24.64,20.98,3.36,0.00,0.22,0.00,0.07
6.25,0.10,18.00,4.24,21.79,18.14,3.33,0.00,0.20,0.00,0.11
6.35,0.10,19.00,4.36,19.19,15.59,3.29,0.00,0.19,0.00,0.11
6.45,0.10,21.00,4.58,17.09,13.59,3.25,0.00,0.18,0.00,0.08
6.55,0.10,11.00,3.32,15.49,12.05,3.21,0.00,0.17,0.00,0.06
6.70,0.20,12.00,2.45,13.50,10.16,3.13,0.00,0.15,0.00,0.05
6.90,0.20,10.50,2.29,10.99,7.78,3.03,0.00,0.13,0.00,0.05
7.10,0.20,9.50,2.18,9.11,6.05,2.91,0.00,0.10,0.00,0.06
7.30,0.20,7.50,1.94,7.16,4.25,2.79,0.00,0.06,0.00,0.05
7.55,0.30,4.30,1.20,4.29,1.60,2.62,0.00,0.03,0.00,0.05
7.90,0.40,3.70,0.97,3.74,1.31,2.36,0.00,0.01,0.00,0.05
8.35,0.50,2.80,0.75,2.81,0.75,2.01,0.00,0.01,0.00,0.05
9.00,0.80,2.30,0.53,1.69,0.15,1.49,0.00,0.00,0.00,0.05
10.70,2.60,0.30,0.11,0.45,0.01,0.39,0.00,0.00,0.00,0.05
